,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat
0,W38411380,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725,3h,60.600349,56.845398
1,N2885181131,№32 Дом обороны,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/2885181131,Q55209768,3h,60.601315,56.834167
2,W38581890,Дом обороны,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/38581890,Q55209768,3h,60.602409,56.835133
3,N1930476141,№28 Здание городской электростанции «Луч»,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/1930476141,Q55154121,3h,60.60743,56.833691
4,N3002726097,№27 Дом Г.Н. Скрябина,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/3002726097,Q55232375,3h,60.607075,56.834225
5,N2475691784,Литературная жизнь Урала XX века,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/2475691784,Q4306077,3h,60.606716,56.842705
6,W55235295,Дом-музей Бажова,"biographical_museums,cultural,museums,children_museums,interesting_places",Екатеринбург,way/55235295,Q4290214,3h,60.613415,56.818394
7,N181286204,Театр кукол,"puppetries,cultural,cinemas,theatres_and_entertainments,interesting_places",Екатеринбург,node/181286204,Q4227893,3h,60.610809,56.839527
8,W35090291,Харитоновский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",Екатеринбург,way/35090291,Q4495944,3h,60.613251,56.846531
9,W46993188,Храм в честь Вознесения Господня,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/46993188,Q4500740,3h,60.612843,56.844761
10,W43554808,Суворовское училище,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/43554808,Q4174329,3h,60.647209,56.845078
11,W46866652,Свято-Троицкий Кафедральный собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/46866652,Q4463552,3h,60.614399,56.827347
12,N6511782886,Дом-музей Д. Н. Мамина-Сибиряка,"biographical_museums,cultural,museums,children_museums,interesting_places,art_galleries",Екатеринбург,node/6511782886,Q4263805,3h,60.607212,56.84132
13,W59804414,Художественный Музей Эрнста Неизвестного,"cultural,museums,interesting_places,art_galleries",Екатеринбург,way/59804414,Q16714939,3h,60.603756,56.83168
14,W948556954,Серго Орджоникидзе,"historic,monuments_and_memorials,interesting_places,monuments",Екатеринбург,way/948556954,Q107506739,3h,60.592449,56.885479
15,N1779665538,Н. И. Кузнецову,"historic,monuments_and_memorials,interesting_places,monuments",Екатеринбург,node/1779665538,Q107538882,3h,60.577671,56.890465
16,W166552564,Успенский собор на ВИЗе,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/166552564,Q54888981,3h,60.556461,56.839237
17,W922392676,Царский мост,"bridges,architecture,interesting_places,other_bridges",Екатеринбург,way/922392676,Q4503250,3h,60.613163,56.823517
18,N5755762950,Дом печати (Екатеринбург),"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/5755762950,Q13668404,3h,60.61459,56.839989
19,N457304363,Музей изобразительных искусств,"cultural,museums,interesting_places,art_galleries",Екатеринбург,node/457304363,Q4174318,3h,60.603241,56.835182
20,W50837336,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042,3h,60.598534,56.822884
21,W947205778,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,way/947205778,Q106150540,3h,60.588634,56.886154
22,N4914245843,Екатеринбургский музей изобразительных искусств,"cultural,museums,interesting_places,art_galleries",Екатеринбург,node/4914245843,Q4174318,3h,60.596317,56.832947
23,W313780001,Уральский государственный медицинский университет,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/313780001,Q4476708,3h,60.576317,56.832996
24,W587989335,Центральный стадион,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/587989335,Q190779,3h,60.573956,56.832283
25,R152269,Уральская государственная консерватория,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,relation/152269,Q4476712,3h,60.599995,56.837444
26,N3002726091,№18 Фотографический музей «Дом Метенкова»,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/3002726091,Q4165339,3h,60.610767,56.841969
27,W128158539,Преображенская церковь на Уктусе,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/128158539,Q3935233,3h,60.649147,56.780872
28,N964623543,Уральский геологический музей,"cultural,museums,science_museums,interesting_places",Екатеринбург,node/964623543,Q4476747,3h,60.59547,56.826492
29,N474950055,Дом Метенкова,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/474950055,Q4165339,3h,60.610954,56.841991
30,W62228491,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893,3h,60.600273,56.838516
31,W52170650,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054,3h,60.59655,56.840122
32,N6962835349,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837,3h,60.605469,56.837891
33,W18077882,Театр оперы и балета,"cultural,theatres_and_entertainments,interesting_places,opera_houses",Екатеринбург,way/18077882,Q4174311,3h,60.616631,56.838799
34,N454056918,Малышеву,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Екатеринбург,node/454056918,Q107573037,3h,60.604321,56.834213
35,N454103127,Памятник Я.М. Свердлову,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Екатеринбург,node/454103127,Q11823227,3h,60.616417,56.839813
36,N474950570,Комсомолу Урала,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Екатеринбург,node/474950570,Q107583229,3h,60.610554,56.844635
37,N192224751,Ленин,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Екатеринбург,node/192224751,Q55584659,3h,60.596291,56.83786
38,N504394251,Шарташские каменные палатки,"view_points,other,mountain_peaks,rock_formations,natural_monuments,geological_formations,natural,interesting_places,nature_reserves",Екатеринбург,node/504394251,Q2036269,3h,60.678642,56.84304
39,N3002726100,№34 Дом контор,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/3002726100,Q42296354,3h,60.599091,56.83392
40,N210073292,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778,3h,60.602776,56.828709
41,N3002726092,№19 Музей истории Екатеринбурга,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/3002726092,Q4306294,3h,60.611122,56.840714
42,N6408389385,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398,3h,60.620918,56.840729
43,W127712171,Иоанно-Предтеченский Кафедральный собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/127712171,Q4202547,3h,60.574745,56.829426
44,W52360451,Дом контор,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/52360451,Q42296354,3h,60.599705,56.833614
45,N694080110,Уральский государственный колледж имени И.И. Ползунова,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/694080110,Q4476751,3h,60.625992,56.823845
46,W47807305,Площадь 1905 года,"urban_environment,cultural,interesting_places,squares",Екатеринбург,way/47807305,Q2837740,3h,60.597221,56.837864
47,N474950054,Музей истории Екатеринбурга,"cultural,museums,interesting_places,history_museums",Екатеринбург,node/474950054,Q4306294,3h,60.611423,56.840691
48,N2324423104,Музей кукол и детской книги «Страна чудес»,"cultural,museums,children_museums,interesting_places",Екатеринбург,node/2324423104,Q4306371,3h,60.606445,56.84338
49,W69841318,"Музей истории, науки и техники Свердловской железной дороги","railway_stations,industrial_facilities,cultural,museums,interesting_places,other_museums",Екатеринбург,way/69841318,Q4441173,3h,60.600773,56.858772
50,N5402950542,Свердловское художественное училище им. И. Д. Шадра,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/5402950542,Q4174330,3h,60.610859,56.835098
51,N415531606,№12 Дом Севастьянова,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/415531606,Q4165394,3h,60.605457,56.83876
52,N763386009,№17 Свердловская государственная академическая филармония,"theatres_and_entertainments,concert_halls,cultural,interesting_places",Екатеринбург,node/763386009,Q4410142,3h,60.610157,56.842163
